external_alarm_id,source_system,tag,message,priority,criticality,state,event_time,ack_time,clear_time,plant,area,equipment
ALM-001181,SIEMENS_SCADA,TAG_O0040,Process variable out of range on EQ-007,1,HIGH,ACKNOWLEDGED,2024-05-13T04:00:00,2024-05-13T04:28:00,,PLANT_B,AREA_04,EQ-017
ALM-000983,ABB_SCADA,TAG_U0020,Process variable out of range on EQ-014,2,HIGH,CLEARED,2024-05-15T04:00:00,2024-05-15T04:50:00,2024-05-15T05:06:00,PLANT_C,AREA_03,EQ-006
ALM-000178,ROCKWELL_PLC,TAG_T0019,Process variable out of range on EQ-009,5,HIGH,CLEARED,2024-05-03T15:00:00,2024-05-03T15:07:00,2024-05-03T16:23:00,PLANT_B,AREA_01,EQ-019
ALM-000941,HONEYWELL_DCS,TAG_N0039,Process variable out of range on EQ-028,4,HIGH,ACKNOWLEDGED,2024-05-13T18:00:00,2024-05-13T18:38:00,,PLANT_B,AREA_04,EQ-014
ALM-000282,ABB_SCADA,TAG_X0049,Process variable out of range on EQ-019,5,HIGH,ACTIVE,2024-05-20T22:00:00,,,PLANT_B,AREA_02,EQ-028
ALM-001265,HONEYWELL_DCS,TAG_H0033,Process variable out of range on EQ-027,1,LOW,CLEARED,2024-05-20T22:00:00,2024-05-20T22:02:00,2024-05-20T22:45:00,PLANT_B,AREA_04,EQ-014
ALM-000821,ABB_SCADA,TAG_C0002,Process variable out of range on EQ-026,1,HIGH,SHELVED,2024-05-11T05:00:00,,,PLANT_B,AREA_03,EQ-021
ALM-001346,HONEYWELL_DCS,TAG_Q0016,Process variable out of range on EQ-019,5,MEDIUM,ACKNOWLEDGED,2024-05-09T16:00:00,2024-05-09T16:40:00,,PLANT_A,AREA_03,EQ-002
ALM-001399,SIEMENS_SCADA,TAG_I0008,Process variable out of range on EQ-010,5,LOW,CLEARED,2024-05-30T04:00:00,2024-05-30T04:43:00,2024-05-30T05:20:00,PLANT_B,AREA_03,EQ-028
ALM-000157,ROCKWELL_PLC,TAG_F0005,Process variable out of range on EQ-005,1,HIGH,ACKNOWLEDGED,2024-05-15T14:00:00,2024-05-15T14:37:00,,PLANT_C,AREA_02,EQ-013
ALM-000598,HONEYWELL_DCS,TAG_N0039,Process variable out of range on EQ-008,1,LOW,UNKNOWN_STATE,2024-05-14T04:00:00,,,PLANT_B,AREA_02,EQ-014
ALM-000135,ROCKWELL_PLC,TAG_T0045,Process variable out of range on EQ-010,4,HIGH,ACTIVE,2024-05-11T23:00:00,,,PLANT_A,AREA_01,EQ-002
ALM-001422,ROCKWELL_PLC,TAG_W0048,Process variable out of range on EQ-027,4,MEDIUM,CLEARED,2024-05-25T14:00:00,2024-05-25T14:29:00,2024-05-25T15:26:00,PLANT_B,AREA_02,EQ-024
ALM-000229,ROCKWELL_PLC,TAG_G0032,Process variable out of range on EQ-029,3,MEDIUM,ACKNOWLEDGED,2024-05-19T04:00:00,2024-05-19T04:32:00,,PLANT_A,AREA_01,EQ-013
ALM-001362,SIEMENS_SCADA,TAG_V0047,Process variable out of range on EQ-006,2,HIGH,ACTIVE,2024-05-26T21:00:00,,,PLANT_C,AREA_01,EQ-016
ALM-001264,ABB_SCADA,TAG_X0023,Process variable out of range on EQ-007,2,LOW,SHELVED,2024-05-16T02:00:00,,,PLANT_C,AREA_01,EQ-012
ALM-000859,ROCKWELL_PLC,TAG_O0040,Process variable out of range on EQ-022,3,MEDIUM,SHELVED,2024-05-25T17:00:00,,,PLANT_B,AREA_01,EQ-001
ALM-000101,SIEMENS_SCADA,TAG_C0028,Process variable out of range on EQ-024,3,LOW,ACTIVE,2023/12/14 03:00:00,,,PLANT_B,AREA_01,EQ-003
ALM-001088,HONEYWELL_DCS,TAG_L0037,Process variable out of range on EQ-015,2,MEDIUM,ACKNOWLEDGED,2024-05-14T22:00:00,2024-05-14T20:00:00,,PLANT_B,AREA_01,EQ-012
ALM-000820,ROCKWELL_PLC,TAG_T0019,Process variable out of range on EQ-018,4,HIGH,ACKNOWLEDGED,2024-05-21T21:00:00,2024-05-21T19:00:00,,PLANT_B,AREA_03,EQ-016
ALM-000312,ROCKWELL_PLC,TAG_W0022,Process variable out of range on EQ-027,5,MEDIUM,ACTIVE,2024-05-12T18:00:00,,,PLANT_B,AREA_04,EQ-011
ALM-000883,ROCKWELL_PLC,TAG_S0044,Process variable out of range on EQ-008,3,HIGH,SHELVED,2024-05-06T00:00:00,,,PLANT_B,AREA_04,EQ-023
ALM-001635,HONEYWELL_DCS,TAG_C0028,Process variable out of range on EQ-021,1,LOW,CLEARED,2024-05-02T18:00:00,2024-05-02T18:05:00,2024-05-02T19:50:00,PLANT_A,AREA_01,EQ-008
ALM-000518,SIEMENS_SCADA,TAG_X0049,Process variable out of range on EQ-024,5,HIGH,ACTIVE,2024-05-13T06:00:00,,,PLANT_C,AREA_01,EQ-012
ALM-001625,ROCKWELL_PLC,TAG_R0017,Process variable out of range on EQ-005,3,LOW,SHELVED,2024-05-17T14:00:00,,,PLANT_C,AREA_03,EQ-020
ALM-000057,SIEMENS_SCADA,TAG_T0019,Process variable out of range on EQ-017,5,MEDIUM,ACKNOWLEDGED,2024-05-25T19:00:00,2024-05-25T19:43:00,,PLANT_A,AREA_02,EQ-022
ALM-000736,HONEYWELL_DCS,TAG_S0018,Process variable out of range on EQ-028,3,HIGH,CLEARED,2024-05-19T06:00:00,2024-05-19T06:17:00,2024-05-19T06:38:00,PLANT_C,AREA_01,EQ-020
ALM-000776,ROCKWELL_PLC,TAG_G0032,Process variable out of range on EQ-006,2,LOW,ACKNOWLEDGED,2024-05-31T18:00:00,2024-05-31T18:44:00,,PLANT_A,AREA_01,EQ-021
ALM-000345,ABB_SCADA,TAG_U0046,Process variable out of range on EQ-011,2,LOW,ACKNOWLEDGED,2024-05-31T06:00:00,2024-05-31T06:16:00,,PLANT_B,AREA_04,EQ-005
ALM-001153,HONEYWELL_DCS,TAG_W0022,Process variable out of range on EQ-025,3,HIGH,CLEARED,2024-05-07T04:00:00,2024-05-07T04:41:00,2024-05-07T04:57:00,PLANT_A,AREA_03,EQ-001
ALM-000685,ROCKWELL_PLC,TAG_I0034,Process variable out of range on EQ-007,2,LOW,CLEARED,2024-05-06T12:00:00,2024-05-06T12:22:00,2024-05-06T13:34:00,PLANT_A,AREA_01,EQ-019
ALM-001705,HONEYWELL_DCS,TAG_N0039,Process variable out of range on EQ-001,4,HIGH,SHELVED,2024-05-25T15:00:00,,,PLANT_C,AREA_04,EQ-005
ALM-001790,SIEMENS_SCADA,TAG_D0003,Process variable out of range on EQ-008,2,HIGH,ACKNOWLEDGED,2024-05-15T00:00:00,2024-05-15T00:31:00,,PLANT_A,AREA_03,EQ-011
ALM-000695,HONEYWELL_DCS,TAG_C0002,,4,,CLEARED,2024-05-08T10:00:00,2024-05-08T10:05:00,2024-05-08T10:29:00,PLANT_C,AREA_02,EQ-019
ALM-001840,SIEMENS_SCADA,TAG_L0011,Process variable out of range on EQ-003,5,HIGH,ACKNOWLEDGED,2024-05-12T12:00:00,2024-05-12T12:08:00,,PLANT_C,AREA_02,EQ-015
ALM-000640,HONEYWELL_DCS,TAG_J0035,Process variable out of range on EQ-019,2,MEDIUM,CLEARED,2024-05-15T11:00:00,2024-05-15T11:34:00,2024-05-15T11:44:00,PLANT_C,AREA_02,EQ-005
ALM-000169,HONEYWELL_DCS,  TAG_X0023  ,Process variable out of range on EQ-024,2,HIGH,ACKNOWLEDGED,2024-05-11T17:00:00,2024-05-11T17:58:00,,PLANT_A,AREA_02,EQ-009
ALM-001055,ABB_SCADA,TAG_U0020,Process variable out of range on EQ-014,4,HIGH,ACKNOWLEDGED,2024-05-05T04:00:00,2024-05-05T04:09:00,,PLANT_C,AREA_03,EQ-019
ALM-001953,HONEYWELL_DCS,TAG_E0030,Process variable out of range on EQ-003,2,HIGH,ACTIVE,2024-05-16T10:00:00,,,PLANT_C,AREA_01,EQ-019
ALM-000566,SIEMENS_SCADA,TAG_K0036,Process variable out of range on EQ-003,5,MEDIUM,ACKNOWLEDGED,09/12/2023 17:00:00,2024-05-03T13:27:00,,PLANT_B,AREA_01,EQ-026
ALM-000135,ROCKWELL_PLC,TAG_T0045,Process variable out of range on EQ-010,4,,ACTIVE,2024-05-11T23:00:00,,,PLANT_A,AREA_01,EQ-002
ALM-000561,ABB_SCADA,TAG_P0041,Process variable out of range on EQ-016,4,HIGH,ACTIVE,2024-05-27T12:00:00,,,PLANT_A,AREA_03,EQ-007
ALM-000241,ABB_SCADA,TAG_C0002,Process variable out of range on EQ-015,3,MEDIUM,ACTIVE,2024-05-08T04:00:00,,,PLANT_A,AREA_04,EQ-023
ALM-001984,HONEYWELL_DCS,TAG_B0001,Process variable out of range on EQ-016,2,HIGH,SHELVED,2024-05-09T23:00:00,,,PLANT_A,AREA_03,EQ-024
ALM-000970,ROCKWELL_PLC,TAG_I0008,Process variable out of range on EQ-004,3,LOW,ACTIVE,2024-05-22T20:00:00,,,PLANT_B,AREA_01,EQ-017
ALM-000952,HONEYWELL_DCS,TAG_Y0024,Process variable out of range on EQ-023,4,MEDIUM,ACKNOWLEDGED,2024-05-11T00:00:00,2024-05-11T00:06:00,,PLANT_C,AREA_02,EQ-005
ALM-001191,ROCKWELL_PLC,TAG_P0041,Process variable out of range on EQ-023,1,MEDIUM,CLEARED,2024-05-24T07:00:00,2024-05-24T07:58:00,2024-05-24T08:49:00,PLANT_A,AREA_04,EQ-014
ALM-000191,HONEYWELL_DCS,TAG_K0010,Process variable out of range on EQ-005,1,MEDIUM,ACTIVE,2024-05-03T13:00:00,,,PLANT_B,AREA_02,EQ-025
ALM-000963,ABB_SCADA,TAG_X0023,Process variable out of range on EQ-010,3,LOW,ACKNOWLEDGED,2024-05-29T22:00:00,2024-05-29T22:52:00,,PLANT_C,AREA_02,EQ-023
ALM-001685,SIEMENS_SCADA,TAG_S0044,Process variable out of range on EQ-012,1,HIGH,ACTIVE,2024-05-31T05:00:00,,,PLANT_A,AREA_01,EQ-001
ALM-000208,ABB_SCADA,TAG_N0039,Process variable out of range on EQ-022,4,HIGH,ACKNOWLEDGED,2024-05-21T07:00:00,2024-05-21T07:02:00,,PLANT_A,AREA_01,EQ-008
ALM-000265,ROCKWELL_PLC,TAG_I0008,Process variable out of range on EQ-022,2,LOW,CLEARED,2024-05-11T23:00:00,2024-05-11T23:55:00,2024-05-12T01:06:00,PLANT_C,AREA_04,EQ-003
ALM-001209,SIEMENS_SCADA,TAG_N0013,Process variable out of range on EQ-005,4,LOW,CLEARED,2024-06-01T00:00:00,2024-06-01T00:55:00,2024-06-01T02:30:00,PLANT_B,AREA_02,EQ-010
ALM-001902,HONEYWELL_DCS,TAG_R0043,Process variable out of range on EQ-023,4,LOW,SHELVED,2024-05-31T21:00:00,,,PLANT_C,AREA_03,EQ-005
ALM-000767,ABB_SCADA,TAG_F0005,Process variable out of range on EQ-026,2,MEDIUM,SHELVED,2024-05-21T04:00:00,,,PLANT_B,AREA_04,EQ-011
ALM-001826,ROCKWELL_PLC,TAG_X0049,Process variable out of range on EQ-018,1,MEDIUM,SHELVED,2024-05-08T05:00:00,,,PLANT_C,AREA_03,EQ-022
ALM-000556,ROCKWELL_PLC,TAG_R0017,Process variable out of range on EQ-010,5,MEDIUM,CLEARED,2024-05-14T20:00:00,2024-05-14T20:36:00,2024-05-14T21:52:00,PLANT_C,AREA_04,EQ-024
ALM-001508,HONEYWELL_DCS,TAG_D0003,Process variable out of range on EQ-030,2,LOW,SHELVED,2024-05-18T07:00:00,,,PLANT_A,AREA_04,EQ-014
ALM-000091,HONEYWELL_DCS,TAG_F0031,Process variable out of range on EQ-016,4,MEDIUM,ACTIVE,2024-05-02T20:00:00,2024-05-02T18:00:00,,PLANT_A,AREA_01,EQ-009
ALM-001412,HONEYWELL_DCS,TAG_S0018,Process variable out of range on EQ-007,5,MEDIUM,SHELVED,2024-05-26T13:00:00,,,PLANT_A,AREA_03,EQ-008
ALM-001254,SIEMENS_SCADA,TAG_S0018,Process variable out of range on EQ-015,1,LOW,SHELVED,2024-05-20T16:00:00,,,PLANT_A,AREA_04,EQ-005
ALM-001698,SIEMENS_SCADA,TAG_E0004,Process variable out of range on EQ-010,4,HIGH,CLEARED,2024-05-04T15:00:00,2024-05-04T15:48:00,2024-05-04T15:59:00,PLANT_B,AREA_01,EQ-027
ALM-001979,ROCKWELL_PLC,TAG_N0013,Process variable out of range on EQ-023,3,MEDIUM,CLEARED,2024-05-15T09:00:00,2024-05-15T09:42:00,2024-05-15T10:15:00,PLANT_B,AREA_03,EQ-006
ALM-001103,ROCKWELL_PLC,TAG_I0034,Process variable out of range on EQ-014,3,LOW,ACTIVE,2024-05-24T08:00:00,,,PLANT_B,AREA_02,EQ-006
ALM-001353,SIEMENS_SCADA,TAG_U0020,Process variable out of range on EQ-013,4,HIGH,ACTIVE,2024-05-24T05:00:00,,,PLANT_A,AREA_03,EQ-027
ALM-000593,HONEYWELL_DCS,TAG_V0021,Process variable out of range on EQ-028,4,MEDIUM,ACTIVE,2024-05-09T21:00:00,,,PLANT_C,AREA_03,EQ-018
ALM-001755,ROCKWELL_PLC,TAG_P0041,Process variable out of range on EQ-027,5,MEDIUM,ACKNOWLEDGED,2024-05-06T08:00:00,2024-05-06T08:11:00,,PLANT_C,AREA_04,EQ-017
ALM-001124,HONEYWELL_DCS,TAG_E0004,Process variable out of range on EQ-019,5,HIGH,ACTIVE,2024-05-23T02:00:00,,,PLANT_B,AREA_04,EQ-011
ALM-000428,SIEMENS_SCADA,TAG_T0045,Process variable out of range on EQ-020,5,LOW,CLEARED,2024-05-06T05:00:00,2024-05-06T05:34:00,2024-05-06T06:37:00,PLANT_B,AREA_01,EQ-014
ALM-000997,SIEMENS_SCADA,TAG_R0043,Process variable out of range on EQ-015,1,MEDIUM,ACTIVE,2024-05-29T23:00:00,,,PLANT_B,AREA_03,EQ-013
ALM-001123,ABB_SCADA,TAG_W0048,Process variable out of range on EQ-004,5,MEDIUM,CLEARED,2024-05-20T16:00:00,2024-05-20T16:48:00,2024-05-20T18:08:00,PLANT_A,AREA_03,EQ-013
ALM-000639,ABB_SCADA,TAG_W0048,Process variable out of range on EQ-021,5,HIGH,ACTIVE,2024-05-18T18:00:00,,,PLANT_C,AREA_04,EQ-002
ALM-000597,SIEMENS_SCADA,TAG_T0045,Process variable out of range on EQ-030,4,MEDIUM,SHELVED,2024-05-08T16:00:00,,,PLANT_B,AREA_01,EQ-025
ALM-000275,ABB_SCADA,TAG_J0035,Process variable out of range on EQ-007,1,HIGH,SHELVED,2024-05-07T18:00:00,,,PLANT_C,AREA_03,EQ-008
ALM-001993,HONEYWELL_DCS,TAG_J0035,Process variable out of range on EQ-006,1,MEDIUM,SHELVED,2024-05-27T18:00:00,,,PLANT_A,AREA_04,EQ-029
ALM-000812,HONEYWELL_DCS,TAG_G0006,Process variable out of range on EQ-011,1,LOW,ACKNOWLEDGED,2024-05-21T21:00:00,2024-05-21T21:29:00,,PLANT_C,AREA_02,EQ-019
ALM-001030,ROCKWELL_PLC,TAG_P0041,Process variable out of range on EQ-008,1,LOW,CLEARED,2024-05-13T12:00:00,2024-05-13T12:21:00,2024-05-13T13:42:00,PLANT_C,AREA_02,EQ-028
ALM-000403,ABB_SCADA,TAG_W0022,Process variable out of range on EQ-023,2,MEDIUM,ACKNOWLEDGED,2024-05-09T14:00:00,2024-05-09T14:52:00,,PLANT_A,AREA_01,EQ-005
ALM-001449,ABB_SCADA,TAG_Y0024,Process variable out of range on EQ-011,4,HIGH,ACKNOWLEDGED,2024-05-07T15:00:00,2024-05-07T15:19:00,,PLANT_C,AREA_02,EQ-001
ALM-000819,HONEYWELL_DCS,TAG_B0027,Process variable out of range on EQ-006,5,MEDIUM,SHELVED,2024-05-20T14:00:00,,,PLANT_C,AREA_02,EQ-007
ALM-001874,ABB_SCADA,TAG_O0014,Process variable out of range on EQ-011,3,MEDIUM,SHELVED,2024-05-29T14:00:00,,,PLANT_B,AREA_02,EQ-023
ALM-001470,ABB_SCADA,TAG_F0031,Process variable out of range on EQ-003,1,MEDIUM,CLEARED,2024-05-22T01:00:00,2024-05-22T01:27:00,2024-05-22T01:54:00,PLANT_C,AREA_02,EQ-007
ALM-001491,SIEMENS_SCADA,TAG_N0013,Process variable out of range on EQ-027,5,HIGH,ACTIVE,2024-05-14T22:00:00,,,PLANT_C,AREA_03,EQ-003
ALM-000673,ROCKWELL_PLC,TAG_V0021,Process variable out of range on EQ-015,1,HIGH,ACKNOWLEDGED,2024-05-10T05:00:00,2024-05-10T05:26:00,,PLANT_B,AREA_02,EQ-029
ALM-001944,SIEMENS_SCADA,TAG_X0049,Process variable out of range on EQ-030,3,MEDIUM,ACKNOWLEDGED,2024-05-26T04:00:00,2024-05-26T04:24:00,,PLANT_C,AREA_01,EQ-003
ALM-001622,SIEMENS_SCADA,TAG_W0048,Process variable out of range on EQ-028,2,MEDIUM,SHELVED,2024-05-27T14:00:00,,,PLANT_A,AREA_04,EQ-025
ALM-001516,SIEMENS_SCADA,TAG_X0023,Process variable out of range on EQ-016,5,HIGH,SHELVED,2024-05-11T13:00:00,,,PLANT_A,AREA_02,EQ-025
ALM-001418,ROCKWELL_PLC,TAG_R0017,Process variable out of range on EQ-025,5,LOW,ACTIVE,2024-05-07T08:00:00,,,PLANT_B,AREA_01,EQ-005
ALM-000688,ABB_SCADA,TAG_U0046,Process variable out of range on EQ-010,2,HIGH,ACKNOWLEDGED,2024-05-03T14:00:00,2024-05-03T14:57:00,,PLANT_A,AREA_01,EQ-015
ALM-000019,ABB_SCADA,TAG_L0037,Process variable out of range on EQ-003,1,LOW,CLEARED,2024-05-05T09:00:00,2024-05-05T09:16:00,2024-05-05T09:28:00,PLANT_B,AREA_01,EQ-025
ALM-000030,ROCKWELL_PLC,TAG_R0017,Process variable out of range on EQ-030,4,MEDIUM,ACTIVE,2024-05-08T08:00:00,,,PLANT_B,AREA_04,EQ-005
ALM-000090,SIEMENS_SCADA,TAG_K0036,Process variable out of range on EQ-010,2,LOW,ACTIVE,2024-05-14T08:00:00,,,PLANT_B,AREA_01,EQ-028
ALM-001974,ROCKWELL_PLC,TAG_R0043,Process variable out of range on EQ-017,3,MEDIUM,CLEARED,2024-05-23T08:00:00,2024-05-23T08:21:00,2024-05-23T09:18:00,PLANT_C,AREA_02,EQ-028
ALM-001415,ROCKWELL_PLC,TAG_P0015,Process variable out of range on EQ-019,2,LOW,ACKNOWLEDGED,2024-05-21T23:00:00,2024-05-21T23:29:00,,PLANT_A,AREA_04,EQ-022
